gene,InvasiveDuctalBreast1,InvasiveDuctalBreast2,InvasiveDuctalBreast3,InvasiveDuctalBreastCancer_Avg,Angiosarcoma1,Angiosarcoma2,Angiosarcoma3,Angiosarcoma_Avg
ENSG00000000003.13,3994,2283,5112,3796.333333,274,74,14,120.6666667
ENSG00000000005.5,2377,11,47,811.6666667,116,32,0,49.33333333
ENSG00000000419.11,1483,3387,4822,3230.666667,1445,473,0,639.3333333
ENSG00000000457.12,1248,1998,1185,1477,1447,348,0,598.3333333
ENSG00000000460.15,239,1089,3734,1687.333333,2184,209,0,797.6666667
ENSG00000000938.11,649,477,232,452.6666667,273,128,0,133.6666667
ENSG00000000971.14,6747,4979,1278,4334.666667,19126,1953,65,7048
ENSG00000001036.12,3097,4730,4107,3978,845,295,151,430.3333333
ENSG00000001084.9,2254,2716,4078,3016,2451,631,104,1062
ENSG00000001167.13,1724,2352,4356,2810.666667,1035,355,0,463.3333333
ENSG00000001460.16,544,1027,919,830,214,22,0,78.66666667
ENSG00000001461.15,2842,4971,1447,3086.666667,504,145,0,216.3333333
ENSG00000001497.15,2589,4772,5745,4368.666667,1348,895,0,747.6666667
ENSG00000001561.6,1218,745,811,924.6666667,194,23,0,72.33333333
ENSG00000001617.10,2228,16336,2629,7064.333333,1723,891,0,871.3333333
ENSG00000001626.13,31,7,0,12.66666667,101,0,0,33.66666667
ENSG00000001629.8,2692,7265,4039,4665.333333,5389,1460,131,2326.666667
ENSG00000001630.14,105,664,149,306,23,37,0,20
ENSG00000001631.13,1791,2608,1675,2024.666667,6584,972,97,2551
ENSG00000002016.15,343,554,447,448,1276,263,0,513
ENSG00000002079.11,14,7,14,11.66666667,95,8,0,34.33333333
ENSG00000002330.12,1206,1834,677,1239,111,114,0,75
ENSG00000002549.11,5880,18975,14689,13181.33333,2292,1627,319,1412.666667
ENSG00000002586.16,10211,8357,8456,9008,9013,8572,444,6009.666667
ENSG00000002587.8,290,310,162,254,27,40,0,22.33333333
ENSG00000002726.18,14,163,26,67.66666667,37,28,0,21.66666667
ENSG00000002745.11,10,15,3,9.333333333,306,101,0,135.6666667
ENSG00000002746.13,37,159,37,77.66666667,133,29,0,54
ENSG00000002822.14,968,2049,1290,1435.666667,982,1066,144,730.6666667
ENSG00000002834.16,13498,76668,44543,44903,1686,1415,13,1038
ENSG00000002919.13,1243,3204,2350,2265.666667,328,212,0,180
ENSG00000002933.6,1914,1236,7518,3556,470,267,0,245.6666667
ENSG00000003056.6,3599,13363,6336,7766,1711,822,108,880.3333333
ENSG00000003096.12,2342,141,161,881.3333333,157,33,0,63.33333333
ENSG00000003137.7,1000,312,452,588,217,109,0,108.6666667
ENSG00000003147.16,1580,2944,1600,2041.333333,2080,1224,38,1114
ENSG00000003249.12,597,6761,3818,3725.333333,13,74,0,29
ENSG00000003393.13,1344,2946,2271,2187,4942,1455,24,2140.333333
ENSG00000003400.13,859,885,247,663.6666667,3173,1323,59,1518.333333
ENSG00000003402.18,7879,5797,6683,6786.333333,7863,1987,135,3328.333333
ENSG00000003436.13,2522,1039,309,1290,2318,1391,111,1273.333333
ENSG00000003509.14,470,952,783,735,1880,240,0,706.6666667
ENSG00000003756.15,4766,4698,4740,4734.666667,11971,3681,357,5336.333333
ENSG00000003987.12,57,123,35,71.66666667,925,82,0,335.6666667
ENSG00000003989.15,3529,10275,103,4635.666667,1246,189,0,478.3333333
ENSG00000004059.9,5093,6461,6663,6072.333333,571,506,0,359
ENSG00000004139.12,682,1162,88,644,251,99,0,116.6666667
ENSG00000004142.10,5001,12144,12849,9998,1277,929,0,735.3333333
ENSG00000004399.11,8253,11005,4762,8006.666667,17640,17976,601,12072.33333
ENSG00000004455.15,6465,7743,12801,9003,10143,2647,291,4360.333333
ENSG00000004468.11,130,756,367,417.6666667,44,11,0,18.33333333
ENSG00000004478.7,6778,85968,32253,41666.33333,954,684,115,584.3333333
ENSG00000004487.14,4555,8164,13362,8693.666667,3813,1198,6,1672.333333
ENSG00000004534.13,4502,3371,4083,3985.333333,27121,6464,398,11327.66667
ENSG00000004660.13,783,684,1429,965.3333333,478,374,0,284
ENSG00000004700.14,1609,3853,2628,2696.666667,1774,385,101,753.3333333
ENSG00000004766.14,1349,2719,1560,1876,2680,524,81,1095
ENSG00000004776.10,5420,239,299,1986,89,128,0,72.33333333
ENSG00000004777.17,282,887,483,550.6666667,839,554,9,467.3333333
ENSG00000004779.8,1461,6402,9627,5830,258,232,11,167
ENSG00000004799.7,16365,1681,88,6044.666667,3226,729,1,1318.666667
ENSG00000004809.12,9,10,29,16,46,33,0,26.33333333
ENSG00000004838.12,162,963,38,387.6666667,92,56,0,49.33333333
ENSG00000004846.15,277,18,4,99.66666667,1400,37,0,479
ENSG00000004848.6,0,282,94,125.3333333,0,0,0,0
ENSG00000004864.12,1095,2694,2250,2013,4307,1222,190,1906.333333
ENSG00000004866.17,1504,2019,1197,1573.333333,1476,626,165,755.6666667
ENSG00000004897.10,3087,13271,8037,8131.666667,3742,701,60,1501
ENSG00000004939.12,26,1,1,9.333333333,20,6,0,8.666666667
ENSG00000004948.12,90,25,5,40,54,2,0,18.66666667
ENSG00000004961.13,1003,1696,6849,3182.666667,746,200,77,341
ENSG00000004975.10,1727,3671,2814,2737.333333,676,461,0,379
ENSG00000005001.8,321,704,212,412.3333333,19,29,0,16
ENSG00000005007.11,5510,19010,7691,10737,2053,1390,223,1222
ENSG00000005020.11,3129,4107,1146,2794,1121,294,0,471.6666667
ENSG00000005022.5,12894,21488,47482,27288,1553,907,24,828
ENSG00000005059.14,795,1037,757,863,723,208,0,310.3333333
ENSG00000005073.5,23,34,17,24.66666667,74,49,0,41
