gene,Angiosarcoma1_HTSeq,Angiosarcoma2_HTSeq,Angiosarcoma3_HTSeq,AngiosarcomaAvg_HTSeq,Angiosarcoma1_STAR,Angiosarcoma2_STAR,Angiosarcoma3_STAR,AngiosarcomaAvg_STAR
ENSG00000000003.13,274,74,14,120.6666667,247,198,304,249.6666667
ENSG00000000005.5,116,32,0,49.33333333,116,100,6,74
ENSG00000000419.11,1445,473,0,639.3333333,1429,534,1749,1237.333333
ENSG00000000457.12,1447,348,0,598.3333333,1154,220,302,558.6666667
ENSG00000000460.15,2184,209,0,797.6666667,1874,477,589,980
ENSG00000000938.11,273,128,0,133.6666667,273,234,91,199.3333333
ENSG00000000971.14,19126,1953,65,7048,19010,8158,1795,9654.333333
ENSG00000001036.12,845,295,151,430.3333333,594,232,725,517
ENSG00000001084.9,2451,631,104,1062,2323,668,1732,1574.333333
ENSG00000001167.13,1035,355,0,463.3333333,1030,750,637,805.6666667
ENSG00000001460.16,214,22,0,78.66666667,210,69,78,119
ENSG00000001461.15,504,145,0,216.3333333,501,161,223,295
ENSG00000001497.15,1348,895,0,747.6666667,1317,504,1412,1077.666667
ENSG00000001561.6,194,23,0,72.33333333,194,100,71,121.6666667
ENSG00000001617.10,1723,891,0,871.3333333,1697,1617,212,1175.333333
ENSG00000001626.13,101,0,0,33.66666667,101,0,10,37
ENSG00000001629.8,5389,1460,131,2326.666667,5287,2495,4843,4208.333333
ENSG00000001630.14,23,37,0,20,1,16,24,13.66666667
ENSG00000001631.13,6584,972,97,2551,6501,1340,4619,4153.333333
ENSG00000002016.15,1276,263,0,513,1257,407,447,703.6666667
ENSG00000002079.11,95,8,0,34.33333333,78,10,21,36.33333333
ENSG00000002330.12,111,114,0,75,55,23,23,33.66666667
ENSG00000002549.11,2292,1627,319,1412.666667,2287,1608,2509,2134.666667
ENSG00000002586.16,9013,8572,444,6009.666667,8929,13107,10114,10716.66667
ENSG00000002587.8,27,40,0,22.33333333,27,22,16,21.66666667
ENSG00000002726.18,37,28,0,21.66666667,37,8,5,16.66666667
ENSG00000002745.11,306,101,0,135.6666667,306,0,17,107.6666667
ENSG00000002746.13,133,29,0,54,123,31,5,53
ENSG00000002822.14,982,1066,144,730.6666667,976,426,927,776.3333333
ENSG00000002834.16,1686,1415,13,1038,1578,2095,951,1541.333333
ENSG00000002919.13,328,212,0,180,318,232,298,282.6666667
ENSG00000002933.6,470,267,0,245.6666667,469,474,166,369.6666667
ENSG00000003056.6,1711,822,108,880.3333333,1703,634,1226,1187.666667
ENSG00000003096.12,157,33,0,63.33333333,157,110,11,92.66666667
ENSG00000003137.7,217,109,0,108.6666667,214,227,33,158
ENSG00000003147.16,2080,1224,38,1114,1823,335,1927,1361.666667
ENSG00000003249.12,13,74,0,29,12,8,55,25
ENSG00000003393.13,4942,1455,24,2140.333333,4880,1642,2435,2985.666667
ENSG00000003400.13,3173,1323,59,1518.333333,3169,665,1230,1688
ENSG00000003402.18,7863,1987,135,3328.333333,5364,1927,1391,2894
ENSG00000003436.13,2318,1391,111,1273.333333,2285,679,9122,4028.666667
ENSG00000003509.14,1880,240,0,706.6666667,1675,505,1261,1147
ENSG00000003756.15,11971,3681,357,5336.333333,8641,4192,3850,5561
ENSG00000003987.12,925,82,0,335.6666667,840,138,82,353.3333333
ENSG00000003989.15,1246,189,0,478.3333333,1230,1079,492,933.6666667
ENSG00000004059.9,571,506,0,359,549,737,574,620
ENSG00000004139.12,251,99,0,116.6666667,94,167,33,98
ENSG00000004142.10,1277,929,0,735.3333333,1277,649,1654,1193.333333
ENSG00000004399.11,17640,17976,601,12072.33333,17391,13157,12319,14289
ENSG00000004455.15,10143,2647,291,4360.333333,10087,1789,9231,7035.666667
ENSG00000004468.11,44,11,0,18.33333333,44,43,50,45.66666667
ENSG00000004478.7,954,684,115,584.3333333,764,649,2128,1180.333333
ENSG00000004487.14,3813,1198,6,1672.333333,3767,2010,7573,4450
ENSG00000004534.13,27121,6464,398,11327.66667,26617,9171,10482,15423.33333
ENSG00000004660.13,478,374,0,284,477,126,417,340
ENSG00000004700.14,1774,385,101,753.3333333,1465,536,1348,1116.333333
ENSG00000004766.14,2680,524,81,1095,2640,799,2022,1820.333333
ENSG00000004776.10,89,128,0,72.33333333,31,129,19,59.66666667
ENSG00000004777.17,839,554,9,467.3333333,829,963,411,734.3333333
ENSG00000004779.8,258,232,11,167,247,167,803,405.6666667
ENSG00000004799.7,3226,729,1,1318.666667,3205,6956,2597,4252.666667
ENSG00000004809.12,46,33,0,26.33333333,32,5,8,15
ENSG00000004838.12,92,56,0,49.33333333,87,23,15,41.66666667
ENSG00000004846.15,1400,37,0,479,1395,50,9,484.6666667
ENSG00000004848.6,0,0,0,0,0,0,0,0
ENSG00000004864.12,4307,1222,190,1906.333333,4292,1250,5259,3600.333333
ENSG00000004866.17,1476,626,165,755.6666667,1141,648,2491,1426.666667
ENSG00000004897.10,3742,701,60,1501,3550,1034,2740,2441.333333
ENSG00000004939.12,20,6,0,8.666666667,20,29,3,17.33333333
ENSG00000004948.12,54,2,0,18.66666667,54,5,0,19.66666667
ENSG00000004961.13,746,200,77,341,725,232,612,523
ENSG00000004975.10,676,461,0,379,675,371,538,528
ENSG00000005001.8,19,29,0,16,19,4,2,8.333333333
ENSG00000005007.11,2053,1390,223,1222,1981,1681,1928,1863.333333
ENSG00000005020.11,1121,294,0,471.6666667,1116,460,1587,1054.333333
ENSG00000005022.5,1553,907,24,828,1487,923,3376,1928.666667
ENSG00000005059.14,723,208,0,310.3333333,711,139,1161,670.3333333
ENSG00000005073.5,74,49,0,41,73,5,172,83.33333333
ENSG00000005075.14,361,492,38,297,361,241,914,505.3333333
ENSG00000005100.11,650,566,0,405.3333333,622,389,1772,927.6666667
ENSG00000005102.11,106,39,0,48.33333333,106,22,5,44.33333333
ENSG00000005108.14,2047,1914,32,1331,1938,850,1156,1314.666667
ENSG00000005156.10,2776,807,102,1228.333333,2618,1136,2484,2079.333333
ENSG00000005175.8,1501,365,0,622,1451,349,1464,1088
ENSG00000005187.10,144,101,0,81.66666667,129,17,35,60.33333333
ENSG00000005189.18,424,134,37,198.3333333,411,181,333,308.3333333
ENSG00000005194.13,537,475,0,337.3333333,536,304,699,513
ENSG00000005206.15,1020,1275,51,782,914,981,758,884.3333333
ENSG00000005238.18,245,232,13,163.3333333,237,200,59,165.3333333
ENSG00000005243.8,1036,448,0,494.6666667,1026,396,121,514.3333333
ENSG00000005249.11,809,303,1,371,799,690,745,744.6666667
ENSG00000005302.16,1862,885,0,915.6666667,1827,957,1364,1382.666667
ENSG00000005339.11,25188,7190,75,10817.66667,24970,10745,10701,15472
ENSG00000005379.14,421,246,9,225.3333333,420,125,56,200.3333333
ENSG00000005381.7,10,4,0,4.666666667,10,2,3,5
ENSG00000005421.7,159,26,0,61.66666667,159,13,58,76.66666667
ENSG00000005436.12,1953,409,0,787.3333333,1528,222,1231,993.6666667
ENSG00000005448.15,402,179,0,193.6666667,399,121,469,329.6666667
ENSG00000005469.10,986,165,0,383.6666667,975,339,125,479.6666667
ENSG00000005471.14,1340,143,0,494.3333333,1336,155,98,529.6666667
ENSG00000005483.18,26239,3844,97,10060,24232,7814,16465,16170.33333
ENSG00000005486.15,618,423,94,378.3333333,595,733,792,706.6666667
ENSG00000005513.9,18,4,0,7.333333333,18,28,5,17
ENSG00000005700.13,5821,931,45,2265.666667,5668,1606,4248,3840.666667
ENSG00000005801.15,1904,397,22,774.3333333,1859,354,1075,1096
ENSG00000005810.16,35184,9895,145,15074.66667,32207,9707,24464,22126
ENSG00000005812.9,1328,347,0,558.3333333,1295,433,625,784.3333333
ENSG00000005844.16,1175,520,40,578.3333333,1016,512,746,758
ENSG00000005882.10,1283,347,0,543.3333333,1255,948,772,991.6666667
ENSG00000005884.16,1708,1926,134,1256,1705,1085,482,1090.666667
ENSG00000005889.14,6865,1924,180,2989.666667,6798,3182,2631,4203.666667
ENSG00000005893.14,2277,592,0,956.3333333,2276,1139,1295,1570
ENSG00000005961.16,72,111,0,61,72,64,33,56.33333333
ENSG00000005981.11,0,0,0,0,0,2,0,0.666666667
ENSG00000006007.10,512,154,0,222,509,155,359,341
ENSG00000006015.16,286,224,0,170,284,190,175,216.3333333
ENSG00000006016.9,156,100,0,85.33333333,154,96,13,87.66666667
ENSG00000006025.10,565,414,0,326.3333333,564,353,382,433
ENSG00000006042.10,379,288,0,222.3333333,378,661,496,511.6666667
ENSG00000006047.11,183,43,0,75.33333333,183,37,37,85.66666667
ENSG00000006059.3,14,8,0,7.333333333,14,0,0,4.666666667
ENSG00000006062.12,1451,768,74,764.3333333,1305,326,356,662.3333333
ENSG00000006071.10,234,4,0,79.33333333,143,128,4,91.66666667
ENSG00000006116.3,0,0,0,0,0,0,0,0
ENSG00000006118.13,294,730,36,353.3333333,294,634,795,574.3333333
ENSG00000006125.15,5183,2432,23,2546,5128,4130,6828,5362
ENSG00000006128.10,0,0,0,0,0,6,2,2.666666667
ENSG00000006194.9,1093,473,0,522,1092,399,562,684.3333333
ENSG00000006210.6,134,34,0,56,131,434,20,195
ENSG00000006282.18,2261,1200,21,1160.666667,2242,911,167,1106.666667
ENSG00000006283.16,551,106,0,219,543,290,28,287
ENSG00000006327.12,18,75,0,31,18,46,8,24
ENSG00000006377.10,15,3,0,6,15,12,1,9.333333333
ENSG00000006432.14,318,53,0,123.6666667,318,9,32,119.6666667
ENSG00000006451.6,872,883,710,821.6666667,839,488,2869,1398.666667
ENSG00000006453.12,1415,342,0,585.6666667,1055,94,528,559
ENSG00000006459.9,5223,1005,0,2076,5166,968,4955,3696.333333
ENSG00000006468.12,761,148,0,303,761,306,1076,714.3333333
ENSG00000006530.14,951,471,0,474,897,493,1420,936.6666667
ENSG00000006534.14,135,127,11,91,135,99,44,92.66666667
ENSG00000006555.9,157,77,0,78,156,4,8,56
ENSG00000006576.15,2439,480,50,989.6666667,2380,825,1988,1731
ENSG00000006606.7,2,54,0,18.66666667,2,3,3,2.666666667
ENSG00000006607.12,3688,877,0,1521.666667,3602,1155,1578,2111.666667
ENSG00000006611.14,28,0,0,9.333333333,28,0,1,9.666666667
ENSG00000006625.16,153,84,2,79.66666667,25,14,46,28.33333333
ENSG00000006634.6,1141,268,0,469.6666667,1137,209,2611,1319
ENSG00000006638.10,244,834,4,360.6666667,244,224,495,321
ENSG00000006652.12,2809,934,90,1277.666667,2792,1612,3335,2579.666667
ENSG00000006659.11,0,0,0,0,0,0,0,0
ENSG00000006695.9,867,288,0,385,867,400,1138,801.6666667
ENSG00000006704.9,1264,859,84,735.6666667,1258,635,959,950.6666667
ENSG00000006712.13,2467,1117,131,1238.333333,2416,1271,1417,1701.333333
ENSG00000006715.14,3418,1205,78,1567,3360,1272,3177,2603
ENSG00000006740.15,516,287,0,267.6666667,477,381,758,538.6666667
ENSG00000006744.17,3751,2265,57,2024.333333,3617,1530,4915,3354
ENSG00000006747.13,193,229,0,140.6666667,193,223,25,147
ENSG00000006756.14,433,294,0,242.3333333,404,181,59,214.6666667
ENSG00000006757.10,196,41,0,79,196,46,47,96.33333333
ENSG00000006788.11,338,89,0,142.3333333,338,201,30,189.6666667
ENSG00000006831.9,573,250,7,276.6666667,563,829,615,669
ENSG00000006837.10,356,73,0,143,351,13,72,145.3333333
ENSG00000007001.11,21,0,0,7,21,10,2,11
ENSG00000007038.9,88,24,0,37.33333333,88,1,803,297.3333333
ENSG00000007047.13,1184,1111,27,774,1156,987,884,1009
ENSG00000007062.10,500,1009,0,503,489,6,5841,2112
ENSG00000007080.9,357,596,296,416.3333333,357,499,763,539.6666667
ENSG00000007129.16,178,114,0,97.33333333,176,59,80,105
ENSG00000007168.11,6366,1434,0,2600,6314,3305,3116,4245
ENSG00000007171.15,229,204,0,144.3333333,229,306,896,477
ENSG00000007174.16,316,40,0,118.6666667,272,25,10,102.3333333
ENSG00000007202.13,11163,4951,1,5371.666667,9465,3745,8392,7200.666667
ENSG00000007216.13,32,9,0,13.66666667,32,0,1,11
ENSG00000007237.17,2699,1055,135,1296.333333,2659,746,238,1214.333333
ENSG00000007255.9,179,308,0,162.3333333,178,30,111,106.3333333
ENSG00000007264.12,75,38,24,45.66666667,75,32,196,101
ENSG00000007306.13,0,1,0,0.333333333,0,0,0,0
ENSG00000007312.11,34,55,137,75.33333333,34,49,35,39.33333333
